	EntryID	Headword	terms	origin
54729	d2e3772975Meyers-1905	Väter vom Heiligen Geist	[]	['vom Heiligen', 'vom heiligen']
54765	d2e3774781Meyers-1905	Vegetarismus	['vegetus']	['v. lat']
54788	d2e3775882Meyers-1905	Velarĭum	['velum']	['v. lat']
54799	d2e3776665Meyers-1905	Velleïtät	['velle']	['v. lat']
54825	d2e3777736Meyers-1905	Vendredi	['Veneris dies']	['v. lat']
54849	d2e3779670Meyers-1905	Ventīl	['ventus']	['v. lat']
54959	d2e3789868Meyers-1905	Verismus	['verus']	['v. lat']
54960	d2e3789888Meyers-1905	Veritābel	['veritas']	['v. lat']
55042	d2e3795962Meyers-1905	Verschollenheit	[]	['vom Zeitwort']
55280	d2e3812031Meyers-1905	Villains	['villanus']	['v. mittellat']
55350	d2e3814911Meyers-1905	Vinkulieren	['vinculum']	['v. lat']
55401	d2e3817141Meyers-1905	Virĭal	['vis']	['v. lat']
55412	d2e3817429Meyers-1905	Virtuell	['virtus']	['v. lat']
55435	d2e3818508Meyers-1905	Visīer	['videre']	['v. lat']
